,id,variable,n_datapoints,n_days,first_date,last_date,n_unique_values,val_min,val_max
185,13,appCat.social,754.0,52.0,2014-03-13,2014-03-16,724.0,0.286,3744.133
186,13,appCat.travel,129.0,17.0,2014-03-14,2014-03-14,129.0,0.77,1833.1
187,13,appCat.unknown,39.0,7.0,2014-03-16,2014-03-23,38.0,0.514,94.36
188,13,appCat.utilities,11.0,6.0,2014-03-17,2014-04-09,11.0,5.349,276.5
189,13,appCat.weather,,,,,,,
190,14,mood,164.0,44.0,2014-03-20,2014-03-29,6.0,2.0,9.0
191,14,circumplex.arousal,164.0,44.0,2014-03-20,2014-03-29,5.0,-2.0,2.0
192,14,circumplex.valence,164.0,44.0,2014-03-20,2014-03-29,5.0,-2.0,2.0
193,14,activity,977.0,46.0,2014-03-21,2014-03-23,162.0,0.0,0.735042735042735
194,14,screen,2325.0,46.0,2014-03-21,2014-03-21,2238.0,0.421000003814697,1151.43700003624
195,14,call,101.0,37.0,2014-02-18,2014-03-05,1.0,1.0,1.0
196,14,sms,72.0,27.0,2014-02-17,2014-03-02,1.0,1.0,1.0
197,14,appCat.builtin,3444.0,46.0,2014-03-21,2014-03-21,2474.0,0.306,33960.246
198,14,appCat.communication,1061.0,42.0,2014-03-21,2014-03-21,1016.0,0.485,3690.398
199,14,appCat.entertainment,79.0,8.0,2014-03-21,2014-03-21,78.0,1.005,262.667
200,14,appCat.finance,59.0,10.0,2014-03-21,2014-03-22,58.0,1.115,315.481
201,14,appCat.game,1.0,1.0,2014-04-20,2014-04-20,1.0,169.699,169.699
202,14,appCat.office,4.0,3.0,2014-04-05,2014-04-17,4.0,3.011,64.407
203,14,appCat.other,317.0,44.0,2014-03-21,2014-03-22,305.0,1.001,2841.417
204,14,appCat.social,297.0,26.0,2014-03-21,2014-03-21,291.0,1.002,651.831
205,14,appCat.travel,51.0,7.0,2014-03-21,2014-03-25,51.0,0.793,167.08
206,14,appCat.unknown,3.0,1.0,2014-03-28,2014-03-28,3.0,2.041,7.245
207,14,appCat.utilities,3.0,1.0,2014-03-22,2014-03-22,3.0,1.004,10.09
208,14,appCat.weather,,,,,,,
209,15,mood,269.0,55.0,2014-03-14,2014-03-25,4.0,5.0,8.0
210,15,circumplex.arousal,269.0,55.0,2014-03-14,2014-03-25,5.0,-2.0,2.0
211,15,circumplex.valence,269.0,55.0,2014-03-14,2014-03-25,5.0,-2.0,2.0
212,15,activity,191.0,48.0,2014-03-17,2014-03-26,73.0,0.0,0.910714285714286
213,15,screen,281.0,42.0,2014-03-14,2014-03-21,281.0,0.462000131607056,1238.06399989128
214,15,call,339.0,65.0,2014-02-17,2014-02-27,1.0,1.0,1.0
215,15,sms,81.0,25.0,2014-02-19,2014-02-25,1.0,1.0,1.0
216,15,appCat.builtin,724.0,42.0,2014-03-14,2014-03-18,565.0,0.115,788.049
217,15,appCat.communication,303.0,36.0,2014-03-14,2014-03-22,296.0,1.002,1169.331
218,15,appCat.entertainment,9.0,5.0,2014-03-18,2014-04-18,9.0,2.031,602.524
219,15,appCat.finance,3.0,1.0,2014-04-28,2014-04-28,3.0,10.036,75.574
220,15,appCat.game,,,,,,,
221,15,appCat.office,21.0,10.0,2014-03-18,2014-04-17,21.0,2.003,215.336
222,15,appCat.other,60.0,25.0,2014-03-14,2014-04-17,58.0,2.014,596.714
223,15,appCat.social,16.0,11.0,2014-03-29,2014-04-21,16.0,3.013,427.776
224,15,appCat.travel,8.0,5.0,2014-03-18,2014-04-14,8.0,4.021,103.633
